# Machine: Apple M4 Max (Mac16,6)
# macOS: 26.4
# Go: go1.26.2
# Swift: release (SwiftUIBridge)
# a2ui tip: 414e025ed93df3ef320367f6d41ad20ede418078
# Date: 2026-04-16T23:34:13Z
# Command: GOWORK=off go test -run=xxx -bench=Bench -benchmem -count=10 -benchtime=2s .

goos: darwin
goarch: arm64
pkg: github.com/tmc/swiftui
cpu: Apple M4 Max
BenchmarkStateGenReadHot/float-16         	16037545	       149.2 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/float-16         	16117581	       148.2 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/float-16         	16334808	       148.5 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/float-16         	16160785	       149.1 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/bool-16          	15753082	       152.5 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/bool-16          	14693187	       162.0 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/bool-16          	15895947	       151.4 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/bool-16          	15922786	       151.2 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/bool-16          	15829776	       151.4 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/bool-16          	15868765	       151.1 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/bool-16          	15952178	       150.8 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/bool-16          	15823627	       151.6 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/bool-16          	15824575	       151.1 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadHot/bool-16          	15878310	       151.2 ns/op	      40 B/op	       3 allocs/op
BenchmarkStateGenReadMiss/int-16          	 6539433	       368.9 ns/op	     104 B/op	       6 allocs/op
BenchmarkStateGenReadMiss/int-16          	 6547350	       368.8 ns/op	     104 B/op	       6 allocs/op
BenchmarkStateGenReadMiss/int-16          	 6509138	       370.7 ns/op	     104 B/op	       6 allocs/op
BenchmarkStateGenReadMiss/int-16          	 5899774	       413.5 ns/op	     104 B/op	       6 allocs/op
BenchmarkStateGenReadMiss/int-16          	 6377348	       370.1 ns/op	     104 B/op	       6 allocs/op
BenchmarkStateGenReadMiss/int-16          	 6507135	       371.1 ns/op	     104 B/op	       6 allocs/op
BenchmarkStateGenReadMiss/int-16          	 6375138	       371.5 ns/op	     104 B/op	       6 allocs/op
BenchmarkStateGenReadMiss/int-16          	 6498408	       370.5 ns/op	     104 B/op	       6 allocs/op
BenchmarkStateGenReadMiss/int-16          	 6468699	       372.7 ns/op	     104 B/op	       6 allocs/op
BenchmarkStateGenReadMiss/int-16          	 6473732	       373.9 ns/op	     104 B/op	       6 allocs/op
BenchmarkStateGenReadMiss/string-16       	 5113869	       469.1 ns/op	     112 B/op	       6 allocs/op
BenchmarkStateGenReadMiss/string-16       	 4821693	       493.2 ns/op	     112 B/op	       6 allocs/op
BenchmarkStateGenReadMiss/string-16       	 5095064	       473.9 ns/op	     112 B/op	       6 allocs/op
BenchmarkStateGenReadMiss/string-16       	 5083195	       756.0 ns/op	     112 B/op	       6 allocs/op
BenchmarkStateGenReadMiss/string-16       	 5128076	       467.2 ns/op	     112 B/op	       6 allocs/op
BenchmarkStateGenReadMiss/string-16       	 5132364	       466.9 ns/op	     112 B/op	       6 allocs/op
BenchmarkStateGenReadMiss/string-16       	 5161483	       467.6 ns/op	     112 B/op	       6 allocs/op
BenchmarkStateGenReadMiss/string-16       	 5157266	       468.3 ns/op	     112 B/op	       6 allocs/op
BenchmarkStateGenReadMiss/string-16       	 5167706	       466.9 ns/op	     112 B/op	       6 allocs/op
BenchmarkStateGenReadMiss/string-16       	 5143368	       466.7 ns/op	     112 B/op	       6 allocs/op
BenchmarkCallbackDispatch-16              	1000000000	         1.776 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallbackDispatch-16              	1000000000	         1.761 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallbackDispatch-16              	1000000000	         1.737 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallbackDispatch-16              	1000000000	         1.719 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallbackDispatch-16              	1000000000	         1.726 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallbackDispatch-16              	1000000000	         1.752 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallbackDispatch-16              	1000000000	         1.750 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallbackDispatch-16              	1000000000	         1.761 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallbackDispatch-16              	1000000000	         1.779 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallbackDispatch-16              	1000000000	         1.769 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallbackDispatchParallel-16      	1000000000	         0.1584 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallbackDispatchParallel-16      	1000000000	         0.1559 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallbackDispatchParallel-16      	1000000000	         0.1663 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallbackDispatchParallel-16      	1000000000	         0.1541 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallbackDispatchParallel-16      	1000000000	         0.1587 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallbackDispatchParallel-16      	1000000000	         0.1574 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallbackDispatchParallel-16      	1000000000	         0.1556 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallbackDispatchParallel-16      	1000000000	         0.1582 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallbackDispatchParallel-16      	1000000000	         0.1666 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallbackDispatchParallel-16      	1000000000	         0.1662 ns/op	       0 B/op	       0 allocs/op
BenchmarkCallbackRegister-16              	47879024	        46.36 ns/op	       0 B/op	       0 allocs/op
